ISO_N3_EH,SOVEREIGNT,num,totalanimaldens_15,totalanimaldens_20,totalanimalvol_20,totalcalories_20,totalfats_20,totalprt_20,animal
188,Costa Rica,35,5378.748872105032,60999.999999999985,15512.300000000012,10703487000.000008,636004300.0000005,558442800.0000005,goatmilk
558,Nicaragua,36,0,0,0,0,0,0,goatmilk
340,Honduras,37,0,0,0,0,0,0,goatmilk
222,El Salvador,38,0,0,0,0,0,0,goatmilk
320,Guatemala,39,113237.03286424279,14246.000000000007,2592.7720000000063,1789012680.0000043,106303652.00000025,93339792.00000022,goatmilk
084,Belize,40,0,0,0,0,0,0,goatmilk
862,Venezuela,41,0,0,0,0,0,0,goatmilk
328,Guyana,42,0,0,0,0,0,0,goatmilk
740,Suriname,43,0,0,0,0,0,0,goatmilk
250,France,44,1255682.939069732,1178410.000000002,709520.6610000009,489569256090.0006,29090347101.000034,25542743796.00003,goatmilk
218,Ecuador,45,31101.774175574727,9724.999999999995,549.4625000000002,379129125.0000001,22527962.500000007,19780650.000000007,goatmilk
630,United States of America,46,2673.669852375984,1959.000000000001,57.00689999999999,39334760.99999999,2337282.8999999994,2052248.3999999997,goatmilk
388,Jamaica,47,514184.9874267578,536889,192313.63979999992,132696411461.99995,7884859231.799996,6923291032.799997,goatmilk
192,Cuba,48,1023877.374167785,20934.99999999999,3713.869000000004,2562569610.0000024,152268629.00000015,133699284.00000013,goatmilk
716,Zimbabwe,49,0,0,0,0,0,0,goatmilk
072,Botswana,50,1190263.734232068,98549.99999999975,11520.495000000015,7949141550.0000105,472340295.0000006,414737820.00000054,goatmilk
516,Namibia,51,0,0,0,0,0,0,goatmilk
686,Senegal,52,5377959.542387247,769376.000000002,14079.580799999985,9714910751.99999,577262812.7999994,506864908.7999995,goatmilk
466,Mali,53,19887912.42293462,20857913.99999989,254466.55080000003,175581920052.00003,10433128582.800001,9160795828.800001,goatmilk
478,Mauritania,54,7484890.704014003,1633596.0000000019,109777.65120000031,75746579328.00021,4500883699.200012,3951995443.2000113,goatmilk
204,Benin,55,1789617.5138597488,375331.00000000035,33366.92589999997,23023178870.99998,1368043961.8999987,1201209332.399999,goatmilk
562,Niger,56,16698469.607942611,6591358.000000004,407345.92440000025,281068687836.0002,16701182900.40001,14664453278.40001,goatmilk
566,Nigeria,57,0,0,0,0,0,0,goatmilk
120,Cameroon,58,4888195.598127484,1175824.0000000023,59379.11199999993,40971587279.999954,2434543591.9999967,2137648031.9999974,goatmilk
768,Togo,59,0,0,0,0,0,0,goatmilk
288,Ghana,60,0,0,0,0,0,0,goatmilk
384,Ivory Coast,61,0,0,0,0,0,0,goatmilk
324,Guinea,62,2642767.271800995,441248.99999999866,37991.538900000014,26214161841.000008,1557653094.9000003,1367695400.4000006,goatmilk
624,Guinea-Bissau,63,759792.1877441406,126635.00000000001,14132.466000000004,9751401540.000002,579431106.0000001,508768776.0000001,goatmilk
430,Liberia,64,0,0,0,0,0,0,goatmilk
694,Sierra Leone,65,0,0,0,0,0,0,goatmilk
854,Burkina Faso,66,14335623.661209106,2357406.999999999,131071.82919999985,90439562147.99991,5373944997.199994,4718585851.199995,goatmilk
140,Central African Republic,67,0,0,0,0,0,0,goatmilk
178,Republic of the Congo,68,0,0,0,0,0,0,goatmilk
266,Gabon,69,0,0,0,0,0,0,goatmilk
226,Equatorial Guinea,70,0,0,0,0,0,0,goatmilk
894,Zambia,71,0,0,0,0,0,0,goatmilk
454,Malawi,72,6350152.997962475,2110481,136126.02450000003,93926956905.00002,5581167004.500001,4900536882.000001,goatmilk
508,Mozambique,73,3754334.2745018564,167629.9999999996,17919.64700000006,12364556430.000042,734705527.0000024,645107292.0000021,goatmilk
748,eSwatini,74,0,0,0,0,0,0,goatmilk
024,Angola,75,0,0,0,0,0,0,goatmilk
108,Burundi,76,2388230.6032390594,629819.0000000008,50574.46569999996,34896381332.99997,2073553093.6999981,1820680765.1999986,goatmilk
